id,created_at,subject,from,to,cc,bcc,reply_to,last_event,sent_at,scheduled_at,api_key_id
f8a1d9ab-c80b-483a-ac1a-484c1580d583,2026-01-29 00:19:02.454477+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,privacy@cubib.com,,,,delivery_delayed,2026-01-29 00:19:02.66+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
9cfc8962-0022-4763-a773-1aeb484097bd,2026-01-29 00:19:13.519289+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,privacy@blackknightinc.com,,,,delivery_delayed,2026-01-29 00:19:13.668+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
585bb964-26ef-4be8-9002-bf67ef8673c1,2026-01-29 00:19:13.98465+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,privacidad@paginasamarillas.cl,,,,delivery_delayed,2026-01-29 00:19:14.13+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
4100f2f2-a9cb-4228-8ac9-30cc43c3ea68,2026-01-29 00:19:14.831465+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,privacy@yellowpages.ma,,,,delivery_delayed,2026-01-29 00:19:14.984+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
3dfc4ecf-f5d8-4f78-a305-2b3a016e380a,2026-01-29 00:19:20.47208+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,privacy@peopletracker.com,,,,delivery_delayed,2026-01-29 00:19:20.632+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
54135eb4-20e5-4386-aedb-2fcc441d54c9,2026-01-29 00:19:20.943366+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,remove@searchpersoninfo.com,,,,delivery_delayed,2026-01-29 00:19:21.095+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
5fa89b7a-a451-48b1-b751-fca8105f62e4,2026-01-29 00:19:21.853204+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,privacy@peoplerecordsearch.com,,,,delivery_delayed,2026-01-29 00:19:21.985+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
e66dceeb-3fae-4203-9dd5-cab704618575,2026-01-29 00:19:23.733728+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,privacy@addressverifysite.com,,,,delivery_delayed,2026-01-29 00:19:23.858+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
14336741-449d-4666-af8e-f314a91c495d,2026-01-29 00:19:25.142007+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,remove@targetingdatahub.com,,,,delivery_delayed,2026-01-29 00:19:25.266+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
10d2e928-88a8-4e86-aad7-e2c7d5009d86,2026-01-29 00:19:26.038288+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,privacy@homeownerrecordshub.com,,,,delivery_delayed,2026-01-29 00:19:26.154+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
77590677-9bc2-4197-ae41-719d77c2ea01,2026-01-29 00:19:26.497319+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,privacy@propertydatafinder.com,,,,delivery_delayed,2026-01-29 00:19:26.661+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
f873c84c-a2f6-4296-96a4-0c017d7edb6f,2026-01-29 00:19:35.714381+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,privacy@411.com,,,,delivery_delayed,2026-01-29 00:19:35.878+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
046e7f87-3fe3-4166-b67b-e772b6e800df,2026-01-29 00:19:36.187829+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,privacy@lookupanyone.com,,,,delivery_delayed,2026-01-29 00:19:36.327+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
b20d843f-c8b7-4780-b79a-ee49217ffdd7,2026-01-29 00:19:40.222963+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,privacy@whitepagesgo.com,,,,delivery_delayed,2026-01-29 00:19:40.366+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
